"commodity_code","obs_date","alert_level","alert_name","crisis_index","triggers","사유"
"CO","2020-07-06","0","정상","25.60422425561191","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-07-13","0","정상","25.60422425561191","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-07-20","0","정상","25.60422425561191","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-07-27","0","정상","25.60422425561191","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-08-03","1","관심","34.01401139142831","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100) 관련 이벤트: '언급함. 최근전기차배터리에서분쟁광물인코발트비중을낮추기위해니켈함유율을확대시키는추세임' (severity 0.56)"
"CO","2020-08-10","1","관심","34.01401139142831","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100) 관련 이벤트: '언급함. 최근전기차배터리에서분쟁광물인코발트비중을낮추기위해니켈함유율을확대시키는추세임' (severity 0.56)"
"CO","2020-08-17","1","관심","34.01401139142831","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100) 관련 이벤트: '언급함. 최근전기차배터리에서분쟁광물인코발트비중을낮추기위해니켈함유율을확대시키는추세임' (severity 0.56)"
"CO","2020-08-24","1","관심","34.01401139142831","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100) 관련 이벤트: '언급함. 최근전기차배터리에서분쟁광물인코발트비중을낮추기위해니켈함유율을확대시키는추세임' (severity 0.56)"
"CO","2020-08-31","1","관심","34.01401139142831","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100) 관련 이벤트: '언급함. 최근전기차배터리에서분쟁광물인코발트비중을낮추기위해니켈함유율을확대시키는추세임' (severity 0.56)"
"CO","2020-09-07","1","관심","34.9987351419328","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100)"
"CO","2020-09-14","1","관심","34.9987351419328","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100)"
"CO","2020-09-21","1","관심","34.9987351419328","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100)"
"CO","2020-09-28","1","관심","34.9987351419328","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100)"
"CO","2020-10-05","1","관심","34.463340240281326","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100)"
"CO","2020-10-12","1","관심","34.463340240281326","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100)"
"CO","2020-10-19","1","관심","34.463340240281326","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100)"
"CO","2020-10-26","1","관심","34.463340240281326","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 34/100)"
"CO","2020-11-02","1","관심","32.96287069604024","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 33/100)"
"CO","2020-11-09","1","관심","32.96287069604024","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 33/100)"
"CO","2020-11-16","1","관심","32.96287069604024","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 33/100)"
"CO","2020-11-23","1","관심","32.96287069604024","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 33/100)"
"CO","2020-11-30","1","관심","32.96287069604024","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 33/100)"
"CO","2020-12-07","1","관심","32.644609083803715","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 33/100)"
"CO","2020-12-14","0","정상","32.644609083803715","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-12-21","0","정상","32.644609083803715","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-12-28","0","정상","32.644609083803715","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2021-01-04","3","경계","37.08734677779608","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 37/100, 수입편중極)"
"CO","2021-01-11","3","경계","37.08734677779608","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 37/100, 수입편중極)"
